Year CE,sunspots,±,22y-SSA
,,,
971,120.5,39.4,62.2
972,47.9,17.4,65.3
973,2.7,20.2,68.6
974,-25.5,24.4,71.2
975,-49.7,23.3,73
976,-62,24.4,74.2
977,-42.8,32.7,75.5
978,27.3,52.2,76.9
979,133,76,78.3
980,231.8,94.7,79.5
981,273.6,100,80.3
982,238.8,92.7,80.6
983,157.5,76.1,80.6
984,76,55.1,80.3
985,26.5,40.1,80
986,7.4,34.5,79.6
987,-15.9,32.3,79.1
988,-46,31.1,78.7
989,-28.2,34.1,78.4
990,55.9,39.2,78.1
991,160,48.1,77.8
992,210.9,53.1,77.3
993,194.1,48,77.3
994,140.3,40.5,76.9
995,45.2,31.9,76.2
996,-43,26,75.3
997,-51.8,25.5,74.5
998,7.5,29.7,73.7
999,63.8,36.3,72.7
1000,98.3,42.8,71.3
1001,149.4,49.5,69.6
1002,187.1,53.3,67.6
1003,185.7,53.3,65.3
1004,153.7,49.7,63
1005,93.5,42.2,60.6
1006,31,33.5,58.2
1007,-16.8,28,55.8
1008,-29.4,26.8,53.5
1009,-13.1,29.6,51.2
1010,6.6,32.6,48.9
1011,41.2,36.9,46.3
1012,75.3,42,43.6
1013,94.4,44.9,40.7
1014,93.8,44,38
1015,77.3,38.7,35.3
1016,55.3,31.5,32.7
1017,22.6,26.9,30.2
1018,-3.7,22.9,27.7
1019,-25.8,20.5,25.1
1020,-39.1,21,22.6
1021,-35.6,21.4,20.2
1022,-25.4,23.1,18.1
1023,-1.4,25.2,16.4
1024,33.9,29.3,15.1
1025,58,33,14.1
1026,63.8,33.1,13.1
1027,45.4,28.9,12.2
1028,14,23.2,11.1
1029,-18,21.9,10.1
1030,-40.8,23,9.2
1031,-40.4,22.4,8.6
1032,-26.8,20.4,8.4
1033,-5.8,20.3,8.4
1034,27.5,23.3,8.7
1035,45.7,25.3,9
1036,37.2,26.1,9.3
1037,23.4,25.8,9.6
1038,10.3,24,10
1039,-2,21.3,10.6
1040,-10.9,18.6,11.1
1041,-5.7,18.4,11.8
1042,5.9,17.1,12.4
1043,11.9,14.9,13.1
1044,20.7,15.3,13.5
1045,27.5,14.8,13.9
1046,13.4,14.3,14.2
1047,-19.8,15.5,14.6
1048,-46.3,17.1,15.3
1049,-30.3,20.5,16.5
1050,18.2,26.9,18
1051,59.5,32.9,19.4
1052,93.2,36.8,20.7
1053,108.9,37.4,21.5
1054,82.7,34,21.8
1055,26.9,29.1,21.9
1056,-17.2,25.5,22
1057,-17.4,24.8,22.3
1058,3.1,24.5,22.9
1059,15.8,24.7,23.8
1060,15.2,25.9,24.9
1061,10.8,26.7,26.1
1062,23.6,27.5,27.4
1063,31.1,26.7,28.8
1064,12.5,25,30.2
1065,-8.8,26.3,31.7
1066,-6.1,28.1,33.4
1067,24.5,30.5,35.4
1068,49.6,32.3,37.4
1069,69.8,35.7,39.2
1070,78.1,38.1,40.9
1071,59.4,36.9,42.1
1072,37.1,35.1,43.1
1073,14.9,32.6,44
1074,-3.6,30.9,45.1
1075,4.5,33.3,46.4
1076,38.1,37.8,48
1077,71.7,41.8,49.7
1078,81.5,44.5,51.4
1079,88.1,45.2,52.9
1080,99.7,45.7,54.1
1081,95.7,45.5,55.2
1082,83.1,45,56
1083,73.1,44.5,56.7
1084,80.1,44.8,57.3
1085,78.8,43.1,57.8
1086,77.2,41.3,58.1
1087,82.1,41.2,58.2
1088,60.7,40.3,58.1
1089,34.3,37.5,57.9
1090,34.3,34.3,57.8
1091,26,31,57.7
1092,4.9,30.3,57.8
1093,-6.3,32.7,58.1
1094,6.8,35.8,58.7
1095,34,37.3,59.3
1096,52.9,36.9,60
1097,66.3,38.3,60.5
1098,89.6,44.6,61
1099,100,50.2,61.5
1100,97.7,52.6,61.8
1101,82,50.6,61.9
1102,72.3,49.6,62
1103,80.8,52.9,62
1104,82.3,57.1,61.9
1105,85.6,58.2,61.7
1106,70.3,51.7,61.4
1107,53,45,61.1
1108,60.3,44.1,60.9
1109,51.5,44.7,60.8
1110,51.9,43.8,60.7
1111,67.5,42,60.6
1112,66.8,38.4,60.5
1113,65.2,37.1,60.5
1114,50.5,35.5,60.7
1115,38,32.8,61.3
1116,44.1,31.8,62.1
1117,57.4,31.7,63.4
1118,74.1,32.1,64.8
1119,83.7,31.6,66.2
1120,77.7,30.1,67.6
1121,62.1,28.2,68.9
1122,41.1,26.9,70.1
1123,19.4,27.6,71.4
1124,8,28.8,72.9
1125,17,29.8,74.6
1126,40.6,31.5,76.5
1127,61.3,32.8,78.8
1128,73.6,35.5,81.2
1129,75.8,38.4,83.5
1130,70.1,41.4,85.7
1131,64.6,46.3,87.7
1132,68.2,52.4,89.4
1133,96.8,64.5,90.9
1134,156.1,82.6,92
1135,225.4,101,92.7
1136,259.7,109.7,92.6
1137,265.4,105.3,91.7
1138,229.3,86,90
1139,146.9,68.3,87.5
1140,77.6,59.6,84.6
1141,24.8,50.6,81.4
1142,-13.4,42.4,78.2
1143,-12.5,38.6,75.1
1144,8.1,37.7,72.1
1145,40.5,43.4,69.2
1146,72.8,50.6,66.3
1147,115.9,55.8,63.4
1148,139.4,56.4,60.4
1149,102.9,52.3,57.2
1150,52.1,45.6,54
1151,15.1,38.9,50.9
1152,-14.3,31.4,47.9
1153,-34.7,25.3,45.1
1154,-35.4,23.1,42.6
1155,-15.9,25.4,40.4
1156,11.8,27.6,38.5
1157,43.4,28.7,36.9
1158,64.9,31.2,35.6
1159,60.4,32.6,34.6
1160,45.8,31.7,33.9
1161,16.8,28.4,33.7
1162,-16.5,24.2,33.8
1163,-35,22.5,34.5
1164,-26.1,26.7,35.6
1165,-1,31.6,36.8
1166,36.9,39.5,38.2
1167,94.4,51.7,39.5
1168,140.1,60.8,40.6
1169,152.5,62.7,41.4
1170,144.8,57.7,42.2
1171,92.7,44.8,43.1
1172,34.6,39.1,44.3
1173,13.1,38.4,45.8
1174,0.9,36,47.7
1175,-6.4,33.1,49.6
1176,-15.4,29.2,51.6
1177,-17.2,26.4,53.6
1178,-11.3,27.1,55.6
1179,-14.6,28.7,57.6
1180,11.2,34.2,59.8
1181,57.8,44.7,62.1
1182,90.2,56,64.4
1183,128.5,66,66.7
1184,142.1,68,68.8
1185,113.5,60.8,70.6
1186,69.2,51.4,72
1187,34.1,45.2,73.2
1188,28.5,44.7,74.2
1189,35.4,46.8,75.2
1190,72.2,53.2,76.3
1191,149.8,68,77.3
1192,215.3,84.4,78.1
1193,240,91.1,78.5
1194,214.7,82.7,78.2
1195,143.8,64.4,77.3
1196,70.5,48,75.8
1197,17.6,38.5,73.9
1198,-19.2,32.4,71.9
1199,-30.9,28.2,69.9
1200,-24.1,28.9,67.9
1201,-2.2,32.5,66
1202,50,37.2,64.1
1203,96.2,40.8,62.1
1204,125.8,43.6,59.9
1205,144.6,47.7,57.5
1206,118.1,48,54.8
1207,79.1,42.7,51.9
1208,40.3,35.2,49
1209,-4.5,31.6,46.1
1210,-11.6,34,43.2
1211,2.8,38.9,40.4
1212,28.8,42.3,37.7
1213,63.1,43.4,35.1
1214,73.5,42.1,32.8
1215,69.8,40.2,30.9
1216,47.5,35.4,29.4
1217,3.1,26.2,28.4
1218,-23.5,21.1,27.8
1219,-26,21.6,27.5
1220,-10.4,22.5,27.4
1221,4.3,21.5,27.4
1222,8.3,21.7,27.4
1223,19.7,24.5,27.4
1224,27.6,27.1,27.6
1225,33.1,27.5,28.1
1226,28.8,28,28.9
1227,18.4,28.7,30.1
1228,23.7,30.1,31.5
1229,12.4,28.9,33
1230,-2.4,26.2,34.7
1231,-10,26,36.4
1232,-21,31.2,38.1
1233,1.7,36.9,40
1234,40.9,47.6,42.1
1235,85.8,62.7,44.3
1236,138.2,75.5,46.4
1237,143.1,76.8,48.3
1238,121.2,66.6,49.9
1239,74.7,51.4,51
1240,29.5,43.5,51.9
1241,15.2,42.2,52.7
1242,23.5,44,53.4
1243,45.2,50.4,53.9
1244,65.5,55.4,54.4
1245,101,57.5,54.6
1246,134,55.8,54.4
1247,115.7,49.2,53.7
1248,69.1,42.1,52.7
1249,17.1,36.2,51.6
1250,-9.5,33.2,50.5
1251,-9.3,33.1,49.6
1252,0.2,35.7,48.8
1253,21.5,38.6,48
1254,51.6,43.3,47
1255,93.9,55.2,45.8
1256,111.1,65.3,44.3
1257,100.1,66.4,42.5
1258,62.8,56.8,40.7
1259,24.2,47.8,39
1260,24.9,48.7,37.6
1261,20.2,50.2,36.4
1262,13.4,47.4,35.2
1263,24.3,42.4,34.1
1264,24.5,34.5,33
1265,21.9,32.8,31.7
1266,0.6,34.7,30.4
1267,-8.6,35.5,29.2
1268,8.7,37.5,28.2
1269,29.9,37.8,27.4
1270,63,41.9,27
1271,64.1,47.2,26.5
1272,41.1,46.4,26
1273,29.4,42.4,25.4
1274,-5.6,32.6,24.6
1275,-23.5,28.2,23.8
1276,-8.4,37.9,23.1
1277,13.1,46.6,22.5
1278,64.2,55.1,21.9
1279,78.6,56.3,21.4
1280,57.4,49.2,20.8
1281,44.5,46.3,20.2
1282,11.4,40.1,19.4
1283,15.5,31.7,18.5
1284,21.6,29.5,17.7
1285,-4.4,27.8,16.7
1286,-25.7,28.1,15.8
1287,-50.6,30.7,15
1288,-36.5,33.6,14.5
1289,4.7,40.3,14.1
1290,47.8,50.8,13.6
1291,89.2,58.3,13.1
1292,83,53.2,12.3
1293,61.3,41.3,11.4
1294,15.8,31,10.4
1295,-23.3,28.1,9.4
1296,-18.8,27.5,8.5
1297,-24.4,23.7,7.6
1298,-26,20.7,6.8
1299,-17.7,22.1,6.1
1300,10.1,24.8,5.5
1301,36.3,24.8,5
1302,14.7,21.9,4.5
1303,-5,19,4.1
1304,-8,20.2,3.7
1305,-12.9,21.9,3.3
1306,-15.8,20.5,3
1307,-16,18.5,2.7
1308,3.2,18.8,2.6
1309,19.6,18.9,2.3
1310,0.4,19.1,2
1311,-7.3,19,1.6
1312,25.6,20.5,1.3
1313,40.3,21.4,1
1314,12.1,20.7,0.8
1315,-2,21.9,0.8
1316,4.1,22.9,0.9
1317,-7.4,23.8,1
1318,-23.3,22.2,1
1319,-11.2,21.1,1.1
1320,15,22,1.1
1321,13.7,20.2,1
1322,-6.2,19.2,0.9
1323,-9.5,19.6,1
1324,-12.9,17.9,1.2
1325,-24.5,17.9,1.6
1326,-19.6,17,2.1
1327,-6.4,16.9,2.7
1328,6,19.3,3.3
1329,10.2,21.2,3.9
1330,10.8,21.9,4.5
1331,6.9,21.6,5.1
1332,2.7,21.6,5.7
1333,14.6,22.9,6.5
1334,27,24.1,7.5
1335,26.6,23,8.8
1336,27.3,22.3,10.5
1337,5.6,22.9,12.4
1338,-6.2,26,14.6
1339,-10,26.4,17.2
1340,-26.4,26.8,19.9
1341,-20.5,34.8,23
1342,3.5,43.7,26.2
1343,32,48.9,29.7
1344,52.8,45.3,33.3
1345,43.1,36.4,37
1346,32.5,34.2,40.9
1347,24,32.2,45
1348,17.5,35.1,49.4
1349,18.1,36,54.1
1350,0.2,39,58.9
1351,-0.8,54.5,63.9
1352,26.8,71.8,69
1353,49.4,83.4,73.9
1354,72.7,83.9,78.7
1355,126.6,76.7,83
1356,194.7,78.6,86.9
1357,206.5,89.3,90.1
1358,169.9,90.6,92.6
1359,149.1,88.4,94.6
1360,125.6,78.5,96.2
1361,96.1,66.5,97.4
1362,80.9,59.6,98.2
1363,74,58.9,98.7
1364,85.5,61.7,98.8
1365,118.2,66.8,98.6
1366,163.7,74.8,97.8
1367,189.1,81.5,96.4
1368,194.3,84,94.4
1369,199.9,80.5,91.6
1370,174.4,74.2,88.2
1371,115.1,66.1,84
1372,52.4,55.7,79.5
1373,11,45.1,74.7
1374,-7.7,36.4,69.7
1375,-24.5,30.1,64.8
1376,-20.8,29.7,60.1
1377,-3.5,33.7,55.6
1378,24,39.2,51.5
1379,59.9,45.9,47.7
1380,79,51,44.2
1381,91.8,52.1,40.8
1382,87.3,48.1,37.3
1383,58.3,40.6,33.8
1384,31.4,32.6,30.2
1385,1.7,27.2,26.6
1386,-22,23.8,23.1
1387,-24,21.2,19.9
1388,-9.8,20.6,17.1
1389,6,20.4,14.6
1390,18.2,21.2,12.6
1391,22.4,20.7,10.9
1392,9.2,20.2,9.4
1393,-9.4,20.6,8.3
1394,-25.6,20.1,7.5
1395,-29.9,21.5,6.9
1396,-26.6,22,6.5
1397,-13,21.9,6.3
1398,17.7,24.8,6.2
1399,38.1,27.6,6
1400,40,29.4,5.7
1401,34.2,28,5.2
1402,21.1,23.2,4.6
1403,7.7,20.8,4
1404,-12.3,19.7,3.6
1405,-27.2,19.5,3.3
1406,-23.2,19.7,3.4
1407,-11.6,18.9,3.6
1408,0.7,20,4
1409,-2.8,20.8,4.3
1410,2,21.7,4.6
1411,14.1,21.8,4.8
1412,0.5,21.5,4.9
1413,0.2,23.7,5
1414,9.9,27.1,5.2
1415,17.6,28.4,5.5
1416,36.3,29.7,5.6
1417,40.7,31.7,5.6
1418,43.3,30.3,5.4
1419,35.8,25.3,4.9
1420,4,21,4.2
1421,-25.1,18.9,3.4
1422,-45.5,19.9,2.7
1423,-39.6,20.3,2.2
1424,-32.4,20.4,1.8
1425,-22.5,20.5,1.5
1426,12,20.6,1.2
1427,46.5,26.2,0.8
1428,55.4,29.5,0.1
1429,20.4,27.9,-0.8
1430,-9.5,24.4,-1.7
1431,-12.2,22.3,-2.6
1432,-19,26.2,-3.3
1433,-15.5,27.2,-4
1434,-4.6,24.6,-4.5
1435,17,24.3,-5
1436,33.9,23.5,-5.7
1437,18.2,24,-6.5
1438,0.1,24.4,-7.4
1439,-20.8,24.7,-8.1
1440,-28.4,27,-8.7
1441,-33,30,-9
1442,-45.4,32.1,-9.2
1443,-37.9,32.7,-9.1
1444,-31,31.4,-9.1
1445,-27.5,29,-9
1446,-31,26.5,-8.9
1447,-42.7,24.4,-8.7
1448,-24,22.3,-8.3
1449,-3.1,20.7,-7.8
1450,3.5,22,-7.1
1451,23.9,21.7,-6.4
1452,41.7,23.4,-5.8
1453,43.9,26.6,-5.5
1454,21.1,25.7,-5.5
1455,-4.9,22.6,-5.5
1456,-23.3,20.6,-5.5
1457,-41.2,21.6,-5.4
1458,-33.5,22.7,-5
1459,-6.1,23.2,-4.4
1460,9.4,22.2,-3.8
1461,23.8,23.3,-3.2
1462,24.9,23.2,-2.8
1463,4.2,20.6,-2.5
1464,-18.9,21.3,-2.4
1465,-28.9,22,-2.2
1466,-18.7,21.6,-2.1
1467,-1,20.9,-1.9
