time,sim_1
1.000000000000000000e+00,4.523932072694118744e+01
2.000000000000000000e+00,1.213690032206505549e+02
3.000000000000000000e+00,2.294582237415181396e+02
4.000000000000000000e+00,3.571019822013196290e+02
5.000000000000000000e+00,4.899109988517703300e+02
6.000000000000000000e+00,6.106302125254240991e+02
7.000000000000000000e+00,6.848636531395978864e+02
8.000000000000000000e+00,6.709127305278456106e+02
9.000000000000000000e+00,5.639226463223178598e+02
1.000000000000000000e+01,4.617057403516033105e+02
1.100000000000000000e+01,3.742768541801892752e+02
1.200000000000000000e+01,3.007897294783425650e+02
1.300000000000000000e+01,2.403537616050928136e+02
1.400000000000000000e+01,1.905865878019141917e+02
1.500000000000000000e+01,1.500064928452017341e+02
1.600000000000000000e+01,1.170516900467532793e+02
1.700000000000000000e+01,9.098192348702812637e+01
1.800000000000000000e+01,7.036122835451237734e+01
1.900000000000000000e+01,5.409448709721234394e+01
2.000000000000000000e+01,4.152384368490459821e+01
2.100000000000000000e+01,3.186429664157109087e+01
2.200000000000000000e+01,2.441454272605261266e+01
2.300000000000000000e+01,1.865038745979560275e+01
2.400000000000000000e+01,1.414864873767181486e+01
2.500000000000000000e+01,1.077294429911633067e+01
2.600000000000000000e+01,6.293823492591234192e+00
2.700000000000000000e+01,1.839301038540473584e-06
2.800000000000000000e+01,1.339304577559111209e+01
2.900000000000000000e+01,6.131988339344229644e+01
3.000000000000000000e+01,1.454918879488690493e+02
3.100000000000000000e+01,2.576620164218058449e+02
3.200000000000000000e+01,3.840695051835405138e+02
3.300000000000000000e+01,5.108984055386737850e+02
3.400000000000000000e+01,6.182721875223533061e+02
3.500000000000000000e+01,6.697378095956662492e+02
3.600000000000000000e+01,6.245506063959319363e+02
3.700000000000000000e+01,5.114015910713946482e+02
3.800000000000000000e+01,4.139477887624234427e+02
3.900000000000000000e+01,3.323673674669424827e+02
4.000000000000000000e+01,2.654305777290335300e+02
4.100000000000000000e+01,2.110917955144783775e+02
4.200000000000000000e+01,1.670122699792136416e+02
4.300000000000000000e+01,1.315383994749856811e+02
4.400000000000000000e+01,1.031549200153197887e+02
4.500000000000000000e+01,8.042399476641529077e+01
4.600000000000000000e+01,6.230188463199019822e+01
4.700000000000000000e+01,4.821706551005803476e+01
4.800000000000000000e+01,3.716653541482097012e+01
4.900000000000000000e+01,2.857163912727620669e+01
5.000000000000000000e+01,2.188129905417391186e+01
5.100000000000000000e+01,1.680766339646033813e+01
5.200000000000000000e+01,1.294510137865713695e+01
5.300000000000000000e+01,9.947191388839057069e+00
5.400000000000000000e+01,2.532225477232683986e+00
5.500000000000000000e+01,2.502607188049042364e+00
5.600000000000000000e+01,3.115833970273415332e+01
5.700000000000000000e+01,9.700194404586430608e+01
5.800000000000000000e+01,1.965821607261398469e+02
5.900000000000000000e+01,3.190079476629512669e+02
6.000000000000000000e+01,4.505366388515863605e+02
6.100000000000000000e+01,5.759026818121734550e+02
6.200000000000000000e+01,6.662117599959121890e+02
6.300000000000000000e+01,6.805219959773487517e+02
6.400000000000000000e+01,5.904058936141549339e+02
6.500000000000000000e+01,4.867469365704230881e+02
6.600000000000000000e+01,3.975325383238713925e+02
6.700000000000000000e+01,3.217478420187331949e+02
6.800000000000000000e+01,2.583208385603190322e+02
6.900000000000000000e+01,2.059905350420164041e+02
7.000000000000000000e+01,1.631995432030943505e+02
7.100000000000000000e+01,1.287931418931010512e+02
7.200000000000000000e+01,1.013628423152112248e+02
7.300000000000000000e+01,7.945488113050083712e+01
7.400000000000000000e+01,6.200587363786338813e+01
7.500000000000000000e+01,4.816801313490483238e+01
7.600000000000000000e+01,3.718871287942170056e+01
7.700000000000000000e+01,2.856567073885968711e+01
7.800000000000000000e+01,2.175574889032073855e+01
7.900000000000000000e+01,1.657050923955798538e+01
8.000000000000000000e+01,1.255413503177862111e+01
8.100000000000000000e+01,9.408322322004787353e+00
8.200000000000000000e+01,2.091729332314493206e+00
8.300000000000000000e+01,3.120616107425234098e+00
8.400000000000000000e+01,3.364074491487037477e+01
8.500000000000000000e+01,1.018803848737081239e+02
8.600000000000000000e+01,2.035161886441937042e+02
8.700000000000000000e+01,3.266989990777478852e+02
8.800000000000000000e+01,4.578939149824458354e+02
8.900000000000000000e+01,5.819413424228838494e+02
9.000000000000000000e+01,6.689027852347329599e+02
9.100000000000000000e+01,6.779655593325779819e+02
9.200000000000000000e+01,5.817707748835811117e+02
9.300000000000000000e+01,4.747606997627499368e+02
9.400000000000000000e+01,3.841946707723368490e+02
9.500000000000000000e+01,3.088114611761469064e+02
9.600000000000000000e+01,2.467266071064336188e+02
9.700000000000000000e+01,1.959603500882688252e+02
9.800000000000000000e+01,1.548489572121805224e+02
9.900000000000000000e+01,1.218788839297730959e+02
1.000000000000000000e+02,9.569049536187907279e+01
1.010000000000000000e+02,7.478774047368672484e+01
1.020000000000000000e+02,5.806316085729397258e+01
1.030000000000000000e+02,4.484577587411424560e+01
1.040000000000000000e+02,3.460427459979221965e+01
1.050000000000000000e+02,2.664317045638721382e+01
1.060000000000000000e+02,2.045631036781528422e+01
1.070000000000000000e+02,1.559449868897443281e+01
1.080000000000000000e+02,1.189839723682945660e+01
1.090000000000000000e+02,8.532136697666990344e+00
1.100000000000000000e+02,7.195398435465386600e-01
1.110000000000000000e+02,6.865854100145740269e+00
1.120000000000000000e+02,4.567898463329963477e+01
1.130000000000000000e+02,1.224203464196684195e+02
1.140000000000000000e+02,2.309608137236409675e+02
1.150000000000000000e+02,3.582161417634502527e+02
1.160000000000000000e+02,4.902251650110898709e+02
1.170000000000000000e+02,6.101168854474590262e+02
1.180000000000000000e+02,6.840074414128605440e+02
1.190000000000000000e+02,6.699911667672938620e+02
1.200000000000000000e+02,5.654325162401663647e+02
1.210000000000000000e+02,4.658567535762605303e+02
1.220000000000000000e+02,3.803548073067512405e+02
1.230000000000000000e+02,3.082288950961877845e+02
1.240000000000000000e+02,2.477110433867073880e+02
1.250000000000000000e+02,1.976530229930053508e+02
1.260000000000000000e+02,1.568913510325347431e+02
1.270000000000000000e+02,1.239649184150814847e+02
1.280000000000000000e+02,9.780512117047337028e+01
1.290000000000000000e+02,7.651505990594303341e+01
1.300000000000000000e+02,5.981498646064256519e+01
1.310000000000000000e+02,4.677883097565330672e+01
1.320000000000000000e+02,3.636248078448610244e+01
1.330000000000000000e+02,2.810300311347378610e+01
1.340000000000000000e+02,2.170463224291528803e+01
1.350000000000000000e+02,1.659838868539933543e+01
1.360000000000000000e+02,1.251982758336292889e+01
1.370000000000000000e+02,9.156482229577791898e+00
1.380000000000000000e+02,1.238606578331374219e+00
1.390000000000000000e+02,5.164341461000241829e+00
1.400000000000000000e+02,4.097359763197771088e+01
1.410000000000000000e+02,1.155291776929456944e+02
1.420000000000000000e+02,2.235032072466423472e+02
1.430000000000000000e+02,3.524473918318857386e+02
1.440000000000000000e+02,4.882600817023035802e+02
1.450000000000000000e+02,6.132233776361603077e+02
